Year,Polling firm,Fieldwork date,Sample size,A,V,M,F,Æ,I,C,Ø,B,Å,O,H,Others,Lead,Gov.,Opp.,Red,Blue
2023,YouGov,7–11 Sep 2023,"1,053",22.7,7.3,6.5,13.1,9.9,10.0,6.6,7.4,4.1,2.7,2.5,6.5,—,—,9.6,36.5,62.8,48.9
2023,Voxmeter,28 Aug–3 Sep 2023,"1,003",23.9,9.9,9.4,12.4,8.9,10.9,4.9,7.6,4.2,2.1,3.0,2.6,—,0.2,11.5,43.2,56.6,51.1
2023,Kantar Gallup,16–22 Aug 2023,"1,842",22.8,11.3,8.0,12.8,8.9,8.5,7.0,6.5,3.6,2.7,2.6,3.8,0.5,—,10.0,42.1,56.9,46.2
2023,Epinion,14–23 Aug 2023,"1,754",22.9,9.7,7.2,12.3,9.0,10.9,5.4,7.5,4.6,3.1,3.1,3.4,—,0.9,10.6,39.8,59.3,50.4
2023,Voxmeter,31 Jul–7 Aug 2023,"1,002",24.3,9.8,6.8,14.0,8.7,10.6,4.5,7.3,4.3,2.7,2.6,3.5,—,0.9,10.3,40.9,58.2,52.5
2023,Voxmeter,19–25 Jun 2023,"1,002",22.0,10.2,7.3,13.7,9.5,10.4,6.3,7.2,4.3,2.8,2.2,3.4,—,0.7,8.3,39.5,59.8,49.4
2023,Voxmeter,12–18 Jun 2023,"1,005",22.9,10.5,7.5,14.3,8.6,11.2,6.6,6.7,3.6,2.7,2.0,3.2,—,0.2,8.6,40.9,58.9,49.5
2023,Voxmeter,5–11 Jun 2023,"1,040",21.3,10.5,8.2,14.1,9.4,11.3,6.5,6.6,3.8,1.9,2.5,3.4,—,0.5,7.2,40.0,59.5,48.3
2023,Kantar Gallup,31 May–6 Jun 2023,"2,123",21.9,10.5,8.0,13.5,8.7,10.3,6.4,7.0,4.2,1.8,2.0,4.5,0.4,0.5,8.4,40.4,59.3,49.0
2023,Voxmeter,22–28 May 2023,"1,002",22.4,11.2,7.6,13.6,9.2,11.0,5.3,6.8,4.3,2.7,2.6,2.8,—,0.5,8.8,41.2,58.3,49.7
2023,Voxmeter,15–21 May 2023,"1,019",21.5,11.3,6.7,14.6,9.2,10.7,6.1,7.0,4.1,2.4,2.6,3.2,—,0.6,6.9,39.5,59.9,49.8
2023,Voxmeter,8–14 May 2023,"1,021",22.1,9.7,6.0,15.1,10.0,11.9,5.4,6.9,4.3,1.8,2.9,3.0,—,0.9,7.0,37.8,61.3,51.3
2023,Voxmeter,1–7 May 2023,"1,003",21.7,10.3,6.2,15.8,10.4,10.2,5.8,7.1,4.6,1.0,2.3,3.6,—,1.0,5.9,38.2,60.8,51.5
2023,Voxmeter,24–30 Apr 2023,"1,012",21.6,9.4,7.3,14.9,10.8,11.0,5.6,7.1,4.6,1.5,2.7,2.9,—,0.6,6.7,38.3,61.1,50.9
2023,Epinion,19–26 Apr 2023,"2,165",21.1,9.0,6.6,15.3,8.6,12.6,6.0,6.4,4.2,2.4,3.1,4.1,—,0.6,5.8,36.7,63.3,50.1
2023,Voxmeter,17–23 Apr 2023,"1,021",22.8,10.6,8.4,13.6,9.4,9.9,5.2,6.7,4.9,1.7,3.2,2.8,—,0.7,9.2,41.8,57.4,51.2
2023,Voxmeter,10–17 Apr 2023,"1,038",23.4,10.5,8.0,14.1,9.0,10.8,5.5,7.2,4.2,1.5,2.3,2.7,0.4,0.9,9.3,41.9,57.7,51.6
2023,Gallup,7–13 Apr 2023,"1,920",20.7,10.5,8.0,14.6,9.2,10.9,6.6,5.8,3.3,2.3,2.9,3.7,0.6,0.9,6.1,39.2,61.8,47.9
2023,Voxmeter,3–10 Apr 2023,"1,025",22.4,9.4,8.3,15.0,9.4,9.4,6.2,6.7,4.0,2.3,2.5,3.4,0.6,0.4,7.4,40.1,59.5,51.2
2023,Voxmeter,27 Mar–3 Apr 2023,"1,044",22.8,8.8,8.7,13.9,9.4,10.3,6.0,7.1,4.4,2.5,2.4,3.0,0.5,0.2,8.9,40.3,59.5,51.1
2023,Epinion,22–28 Mar 2023,"2,262",20.8,9.1,9.0,13.1,8.9,11.0,5.5,7.6,3.3,2.7,2.2,4.7,0.6,1.5,7.7,38.9,61.1,47.6
2023,Voxmeter,20–26 Mar 2023,"1,000",23.6,9.5,7.4,12.7,8.6,10.5,6.3,7.0,4.0,2.3,3.2,3.9,0.2,0.8,10.9,40.5,58.7,50.7
2023,Voxmeter,13–19 Mar 2023,"1,019",22.2,11.0,8.4,12.7,8.4,11.0,5.9,7.4,4.0,2.8,2.6,3.3,0.2,0.1,9.5,41.6,58.3,49.1
2023,YouGov,10–13 Mar 2023,"1,242",23.0,9.2,5.7,12.7,10.5,9.7,7.5,8.1,3.4,2.0,1.8,6.0,0.2,0.2,10.3,37.9,62.1,49.2
2023,Voxmeter,6–12 Mar 2023,"1,009",21.4,10.5,7.9,13.6,8.3,12.4,5.7,7.0,4.8,2.9,2.3,2.5,0.5,0.2,7.8,39.8,60.0,49.6
2023,Voxmeter,27 Feb–5 Mar 2023,"1,015",18.6,11.9,7.9,14.5,9.3,11.9,5.2,6.6,4.3,4.4,2.2,2.6,0.3,0.3,4.1,38.4,61.3,46.5
2023,Voxmeter,20–26 Feb 2023,"1,002",24.0,10.6,8.7,14.4,8.4,9.6,6.1,5.4,3.0,3.0,2.4,4.1,0.2,0.1,9.6,43.3,56.8,49.4
2023,Epinion,14–20 Feb 2023,"1,823",21.9,9.4,7.5,12.8,9.9,10.3,6.4,7.0,4.0,2.3,3.0,4.5,0.7,0.3,9.1,38.8,60.9,49.4
2023,Voxmeter,13–19 Feb 2023,"1,128",24.8,11.4,7.4,13.1,8.6,10.0,5.6,6.2,3.2,3.1,2.8,3.0,0.5,0.3,11.7,43.6,56.1,50.6
2023,Voxmeter,6–12 Feb 2023,"1,029",22.9,10.0,7.4,14.9,8.2,10.8,6.1,7.0,3.2,3.7,2.5,2.9,0.2,0.2,8.0,40.3,59.5,50.7
2023,Voxmeter,30 Jan–5 Feb 2023,"1,047",22.1,12.1,8.1,14.4,9.0,10.3,5.1,6.3,3.0,3.3,3.1,3.1,0.0,0.1,7.7,42.3,57.6,48.9
2023,Gallup,27 Jan–2 Feb 2023,"1,640",23.1,11.1,8.4,12.8,8.3,11.5,5.4,6.6,3.3,2.6,2.8,3.0,–,–,10.3,42.6,56.3,48.6
2023,Voxmeter,23–29 Jan 2023,"1,004",22.8,11.5,8.0,13.5,8.3,10.6,6.1,6.7,3.8,2.5,2.7,3.0,0.2,0.3,9.3,42.3,57.4,49.7
2023,Voxmeter,16–22 Jan 2023,"1,002",24.1,11.4,7.7,13.5,8.4,10.4,4.9,6.5,3.3,3.1,3.0,3.0,0.5,0.2,10.6,43.2,56.6,50.9
2023,Voxmeter,9–15 Jan 2023,"1,028",26.0,11.5,8.6,11.7,7.0,9.4,5.1,6.5,3.6,3.9,2.8,3.3,0.5,0.1,14.3,46.1,53.8,51.1
2023,Voxmeter,2–8 Jan 2023,"1,017",27.2,10.9,9.1,11.0,7.4,10.3,4.9,6.6,3.5,2.8,3.3,2.6,0.4,0.0,16.2,47.2,52.8,52.0
2022,2022 election result,–,27.50,13.32,9.27,8.30,8.12,7.89,5.51,5.13,3.79,3.67,3.33,2.64,0.90,0.64 [ n ],14.18,50.09,49.79,48.95,41.65
